Model,FC Metric,accuracy_mean,accuracy_err,balanced_accuracy_mean,balanced_accuracy_err,precision_macro_mean,precision_macro_err,recall_macro_mean,recall_macro_err,f1_macro_mean,f1_macro_err,precision_micro_mean,precision_micro_err,recall_micro_mean,recall_micro_err,f1_micro_mean,f1_micro_err,precision_weighted_mean,precision_weighted_err,recall_weighted_mean,recall_weighted_err,f1_weighted_mean,f1_weighted_err,jaccard_macro_mean,jaccard_macro_err,jaccard_micro_mean,jaccard_micro_err,jaccard_weighted_mean,jaccard_weighted_err,auc_macro_mean,auc_macro_err,auc_micro_mean,auc_micro_err,auc_weighted_mean,auc_weighted_err,hamming_loss_mean,hamming_loss_err
RFC,SpcG,0.975766581477425,0.018190823901667486,0.9586356814527506,0.03552173399669778,0.9613490716628111,0.031746759723542683,0.9586356814527506,0.03552173399669778,0.9584984816730708,0.033447651574964654,0.975766581477425,0.018190823901667486,0.975766581477425,0.018190823901667486,0.975766581477425,0.018190823901667486,0.9773746470891971,0.01817944755189227,0.975766581477425,0.018190823901667486,0.9757732372644379,0.01848402570859653,0.9231112877511138,0.05848867547496461,0.9529137165478755,0.035038090681040135,0.9549821733946235,0.033215593750512085,0.9992346924597396,0.0014959069209004028,0.9994862278224163,0.000882003763646777,0.9995427705546011,0.0008976212596046862,0.02423341852257515,0.018190823901667277
RFC,PLV,0.5924909821102592,0.06205447243519535,0.3184608634267987,0.05731485391141866,0.3198628754952395,0.06930948575961615,0.3184608634267987,0.05731485391141866,0.3139231445392095,0.0586574646808371,0.5924909821102592,0.06205447243519535,0.5924909821102592,0.06205447243519535,0.5924909821102592,0.06205447243519535,0.5778331614564396,0.0721279697524777,0.5924909821102592,0.06205447243519535,0.5817922855264888,0.06768877362896164,0.24485632484162714,0.03769249062744692,0.4219086388898526,0.06457784759663393,0.5305634901629793,0.06710623538252103,0.810972024085356,0.036727730602110986,0.8955109365318601,0.028892203749490974,0.8866435720831843,0.03290423367982798,0.4075090178897408,0.06205447243519535
RFC,COH,0.5957229159060484,0.05882253863940612,0.3209276536974841,0.05621197847117276,0.32508972859629043,0.07762699383369992,0.3209276536974841,0.05621197847117276,0.3113888526467877,0.05784611350347735,0.5957229159060484,0.05882253863940612,0.5957229159060484,0.05882253863940612,0.5957229159060484,0.05882253863940612,0.5821487788584201,0.0729353644328169,0.5957229159060484,0.05882253863940612,0.5819721517717602,0.06377622825422513,0.24438419057779223,0.0357845177275147,0.42518497214369366,0.06130151434279285,0.532128045647997,0.06306070246294015,0.8051032909868561,0.03622853832462636,0.895339630121135,0.02876001579606613,0.8830335405103481,0.03435409315355298,0.4042770840939515,0.05882253863940606
RFC,PDC,0.9749592308628453,0.02344407934769377,0.9577998167627599,0.033869763972413036,0.9600951335099368,0.033906745874180744,0.9577998167627599,0.033869763972413036,0.9573835683718128,0.03404969091739396,0.9749592308628453,0.02344407934769377,0.9749592308628453,0.02344407934769377,0.9749592308628453,0.02344407934769377,0.9766426779714925,0.019189374481037302,0.9749592308628453,0.02344407934769377,0.9749066180521034,0.022795068922851658,0.9212167273955433,0.05932435338574926,0.9513937697005039,0.043879318833451864,0.9535000734671669,0.039342425559519056,0.99891393089993,0.002023440766664386,0.9993436400982245,0.00102738665469837,0.9993497921175052,0.001158325121376036,0.025040769137154677,0.023444079347693807
RFC,iCOH,0.9652664476086162,0.025872508214676793,0.9424512627230052,0.03954534124510223,0.9592690048087664,0.033747304601501105,0.9424512627230052,0.03954534124510223,0.9487777689028255,0.035861881114545024,0.9652664476086162,0.025872508214676793,0.9652664476086162,0.025872508214676793,0.9652664476086162,0.025872508214676793,0.9669269187610551,0.022699261111280178,0.9652664476086162,0.025872508214676793,0.9648187787537484,0.02571193288428697,0.9058965676331641,0.061509906535976655,0.933221506844279,0.04750722112999328,0.9346674065269844,0.04517095466484078,0.9924388351909874,0.008861683068109416,0.9949148876992697,0.00620855217095706,0.9952508039730372,0.005761845907864549,0.03473355239138372,0.02587250821467689
SVM,SpcG,0.6409537300718023,0.056015966897894676,0.3924691058138007,0.06490697839873211,0.40289282370670004,0.132653574339698,0.3924691058138007,0.06490697839873211,0.3744432557717013,0.06176196548522167,0.6409537300718023,0.056015966897894676,0.6409537300718023,0.056015966897894676,0.6409537300718023,0.056015966897894676,0.648155066164945,0.07567272696126714,0.6409537300718023,0.056015966897894676,0.6314503090886844,0.05606233751522893,0.2908731138975148,0.0423985026438386,0.47260119569415593,0.06228252523607658,0.5788817500017187,0.0555848985515357,0.8513125312158519,0.03171019911983708,0.9204765174186517,0.023502412735456057,0.9112021244844788,0.027861014450996757,0.35904626992819766,0.05601596689789462
SVM,PLV,0.6066273335767312,0.060039333089935476,0.34372680795169785,0.0619665253362362,0.34426210466878887,0.06651741600938627,0.34372680795169785,0.0619665253362362,0.33749542966550045,0.06048756411328815,0.6066273335767312,0.060039333089935476,0.6066273335767312,0.060039333089935476,0.6066273335767312,0.060039333089935476,0.6070279005109102,0.06315097727448349,0.6066273335767312,0.060039333089935476,0.6030490422336021,0.06167822848741289,0.2630360148941827,0.039393181101105235,0.4363230595007458,0.06367694049925421,0.5534142894178489,0.059267111520236004,0.8154057426902964,0.03317885347014227,0.9035273608797655,0.02645738842797485,0.8899316504490036,0.031556899273821104,0.3933726664232689,0.06003933308993559
SVM,COH,0.6025868321771937,0.058019228428866976,0.32432672100503473,0.03678995629915238,0.2403617711878884,0.09086514078902333,0.32432672100503473,0.03678995629915238,0.2519144882241867,0.035368580712182296,0.6025868321771937,0.058019228428866976,0.6025868321771937,0.058019228428866976,0.6025868321771937,0.058019228428866976,0.5178922374796133,0.07747329227702937,0.6025868321771937,0.058019228428866976,0.5400923654852064,0.06194830654117989,0.20805263255199097,0.02504325223034995,0.43213832973259064,0.0610743399506673,0.4963920963872265,0.06613930239943178,0.8229393746287748,0.0336037466517638,0.9045577021676936,0.02866054881599478,0.8927253561546971,0.030975795084908664,0.3974131678228064,0.058019228428866976
SVM,PDC,0.7952352926858951,0.04978074723134962,0.65522632115441,0.07679810265019937,0.6597539290940985,0.07728336639907929,0.65522632115441,0.07679810265019937,0.6501878958513881,0.07498343095533722,0.7952352926858951,0.04978074723134962,0.7952352926858951,0.04978074723134962,0.7952352926858951,0.04978074723134962,0.802327808319745,0.05154697850958723,0.7952352926858951,0.04978074723134962,0.794626694130538,0.050978916608107494,0.5139971447822863,0.07733916100206839,0.6611864008609817,0.06698350231025707,0.7126595764024584,0.05817383561939826,0.9429997921767875,0.02053343224738391,0.9692270040759584,0.012978335572744415,0.9657809843938635,0.014980896891834572,0.20476470731410487,0.04978074723134965
SVM,iCOH,0.969304953145917,0.02385040769137159,0.9521065560036224,0.03719700885142818,0.9524639835224583,0.03567792508198808,0.9521065560036224,0.03719700885142818,0.9508149524159832,0.0376224609521445,0.969304953145917,0.02385040769137159,0.969304953145917,0.02385040769137159,0.969304953145917,0.02385040769137159,0.9709308018067363,0.02312988911277547,0.969304953145917,0.02385040769137159,0.9692677277018542,0.023802124559327842,0.9097927702194014,0.06374520675899642,0.9407556701509554,0.04420394601302435,0.9433436698631631,0.040984943549741915,0.996141325489271,0.006590935968504019,0.9977191873469738,0.0037566529117121217,0.9975956112887165,0.004034054498250783,0.030695046854083,0.023850407691371544
